pais,tema,tema_descripcion,materia,grado,parametro,porcentaje
hn,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,7 o más semestres,0.326
hn,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,Menos de 7 semestres,0.674
hn,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,7 o más semestres,0.435
hn,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,Menos de 7 semestres,0.565
hn,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,7 o más semestres,0.317
hn,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,Menos de 7 semestres,0.683
hn,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,7 o más semestres,0.413
hn,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,Menos de 7 semestres,0.587
mx,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,7 o más semestres,0.729
mx,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,Menos de 7 semestres,0.271
mx,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,7 o más semestres,0.646
mx,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,Menos de 7 semestres,0.354
mx,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,7 o más semestres,0.729
mx,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,Menos de 7 semestres,0.271
mx,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,7 o más semestres,0.646
mx,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,Menos de 7 semestres,0.354
mx,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,7 o más semestres,0.729
mx,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,Menos de 7 semestres,0.271
ni,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,7 o más semestres,0.189
ni,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,Menos de 7 semestres,0.811
ni,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,7 o más semestres,0.103
ni,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,Menos de 7 semestres,0.897
ni,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,7 o más semestres,0.191
ni,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,Menos de 7 semestres,0.809
ni,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,7 o más semestres,0.103
ni,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,Menos de 7 semestres,0.897
ni,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,7 o más semestres,0.192
ni,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,Menos de 7 semestres,0.808
pa,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,7 o más semestres,0.574
pa,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,Menos de 7 semestres,0.426
pa,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,7 o más semestres,0.544
pa,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,Menos de 7 semestres,0.456
pa,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,7 o más semestres,0.603
pa,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,Menos de 7 semestres,0.397
pa,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,7 o más semestres,0.526
pa,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,Menos de 7 semestres,0.474
pa,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,7 o más semestres,0.56
pa,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,Menos de 7 semestres,0.44
py,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,7 o más semestres,0.203
py,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,Menos de 7 semestres,0.797
py,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,7 o más semestres,0.317
py,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,Menos de 7 semestres,0.683
py,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,7 o más semestres,0.211
py,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,Menos de 7 semestres,0.789
py,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,7 o más semestres,0.308
py,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,Menos de 7 semestres,0.692
py,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,7 o más semestres,0.205
py,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,Menos de 7 semestres,0.795
pe,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,7 o más semestres,0.663
pe,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,Menos de 7 semestres,0.337
pe,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,7 o más semestres,0.638
pe,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,Menos de 7 semestres,0.362
pe,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,7 o más semestres,0.679
pe,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,Menos de 7 semestres,0.321
pe,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,7 o más semestres,0.628
pe,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,Menos de 7 semestres,0.372
pe,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,7 o más semestres,0.661
pe,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,Menos de 7 semestres,0.339
do,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,7 o más semestres,0.611
